method,rank,query_artist,query_song,query_genre,match_artist,match_song,match_genre,score,hit
raw dot product,1,Michael Jackson,All The Things You Are,blues,Lauryn Hill,Interlude 5,r&b/soul,3570.0,False
raw dot product,2,Michael Jackson,All The Things You Are,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2865.0,False
raw dot product,1,John Mayer,Vultures,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3132.0,False
raw dot product,2,John Mayer,Vultures,blues,Lauryn Hill,Interlude 5,r&b/soul,3012.0,False
raw dot product,1,John Mayer,Out Of My Mind,blues,Lauryn Hill,Interlude 5,r&b/soul,4597.0,False
raw dot product,2,John Mayer,Out Of My Mind,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3722.0,False
raw dot product,1,R. Kelly,Hump Bounce,blues,Lauryn Hill,Interlude 5,r&b/soul,5557.0,False
raw dot product,2,R. Kelly,Hump Bounce,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4567.0,False
raw dot product,1,R. Kelly,Intro - The Sermon,blues,Lauryn Hill,Interlude 5,r&b/soul,6673.0,False
raw dot product,2,R. Kelly,Intro - The Sermon,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5569.0,False
raw dot product,1,Michael Jackson,Call On Me,blues,Lauryn Hill,Interlude 5,r&b/soul,8789.0,False
raw dot product,2,Michael Jackson,Call On Me,blues,Twista,I'm A Winner (Amended Album Version),hip hop,7434.0,False
raw dot product,1,The Black Keys,Oceans and Streams,blues,Lauryn Hill,Interlude 5,r&b/soul,2328.0,False
raw dot product,2,The Black Keys,Oceans and Streams,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2215.0,False
raw dot product,1,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill,Interlude 5,r&b/soul,1913.0,False
raw dot product,2,The Black Keys,10 A.M. Automatic,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1790.0,False
raw dot product,1,The Black Keys,Aeroplane Blues,blues,Lauryn Hill,Interlude 5,r&b/soul,1486.0,False
raw dot product,2,The Black Keys,Aeroplane Blues,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1480.0,False
raw dot product,1,The Black Keys,All Hands Against His Own,blues,Lauryn Hill,Interlude 5,r&b/soul,2681.0,False
raw dot product,2,The Black Keys,All Hands Against His Own,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1936.0,False
raw dot product,1,The Black Keys,Black Door,blues,Kandi,I Wanna Know,r&b/soul,1868.0,False
raw dot product,2,The Black Keys,Black Door,blues,Lauryn Hill,Interlude 5,r&b/soul,1536.0,False
raw dot product,1,The Black Keys,Busted,blues,Lauryn Hill,Interlude 5,r&b/soul,8737.0,False
raw dot product,2,The Black Keys,Busted,blues,Twista,I'm A Winner (Amended Album Version),hip hop,8094.0,False
raw dot product,1,The Black Keys,Give Your Heart Away,blues,Lauryn Hill,Interlude 5,r&b/soul,1215.0,False
raw dot product,2,The Black Keys,Give Your Heart Away,blues,Michael Jackson,Man In The Mirror,pop,1196.0,False
raw dot product,1,The Black Keys,Grown So Ugly,blues,Lauryn Hill,Interlude 5,r&b/soul,1853.0,False
raw dot product,2,The Black Keys,Grown So Ugly,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1496.0,False
raw dot product,1,The Black Keys,Hard Row,blues,Lauryn Hill,Interlude 5,r&b/soul,2371.0,False
raw dot product,2,The Black Keys,Hard Row,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2137.0,False
raw dot product,1,The Black Keys,I Got Mine,blues,Mario Vazquez,Everytime I...,r&b/soul,2429.0,False
raw dot product,2,The Black Keys,I Got Mine,blues,Eminem,8 Mile,hip hop,2295.0,False
raw dot product,1,The Black Keys,If You See Me,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2415.0,False
raw dot product,2,The Black Keys,If You See Me,blues,Lauryn Hill,Interlude 5,r&b/soul,2268.0,False
raw dot product,1,The Black Keys,Lies,blues,Lauryn Hill,Interlude 5,r&b/soul,1825.0,False
raw dot product,2,The Black Keys,Lies,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1532.0,False
raw dot product,1,The Black Keys,Next Girl,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2459.0,False
raw dot product,2,The Black Keys,Next Girl,blues,Calvin Harris,The Girls,electronic,2248.0,False
raw dot product,1,The Black Keys,No Fun,blues,Enrique Iglesias,Miss You,latin,1584.0,False
raw dot product,2,The Black Keys,No Fun,blues,Tracey Ullman,Breakaway,pop,1418.0,False
raw dot product,1,The Black Keys,Stack Shot Billy,blues,Lauryn Hill,Interlude 5,r&b/soul,655.0,False
raw dot product,2,The Black Keys,Stack Shot Billy,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,542.0,False
raw dot product,1,The Black Keys,Ten Cent Pistol,blues,The Corrs,Queen Of Hollywood ( LP Version ),pop,902.0,False
raw dot product,2,The Black Keys,Ten Cent Pistol,blues,Twiztid,She Ain't Afraid,hip hop,889.0,False
raw dot product,1,The Black Keys,The Flame,blues,Lauryn Hill,Interlude 5,r&b/soul,2219.0,False
raw dot product,2,The Black Keys,The Flame,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1494.0,False
raw dot product,1,The Black Keys,These Days,blues,Lauryn Hill,Interlude 5,r&b/soul,2558.0,False
raw dot product,2,The Black Keys,These Days,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2148.0,False
raw dot product,1,The Black Keys,When The Lights Go Out,blues,Lauryn Hill,Interlude 5,r&b/soul,2209.0,False
