word,doc_freq,total_count,idf
about,1185,2648,2.9089802332924535
abov,264,375,4.407591986863902
across,234,340,4.527736298705966
act,226,291,4.562371795368721
afraid,200,350,4.684016904791048
after,406,635,3.9785086274075288
again,974,2281,3.104884341852277
ah,207,747,4.649783733148806
ahora,110,271,5.27779161153779
ai,558,1050,3.6611723396950246
air,326,465,4.19736164195287
al,443,1043,3.891497250417899
aliv,227,435,4.557976183895683
all,4064,12425,1.6771527908682131
alma,143,258,5.017508513274123
alon,700,1264,3.4348139258155337
along,311,508,4.244318625040641
alright,248,612,4.469868916385416
alway,954,1877,3.125610472369394
am,3479,14608,1.8325342400816038
amor,419,1432,3.94706710157271
an,1223,2384,2.8774423497778523
and,5960,37759,1.2943282816301975
angel,240,558,4.502524879359469
ani,406,578,3.9785086274075288
anoth,675,1538,3.47112873680716
answer,188,273,4.745574797790482
anymor,158,357,4.918417610629893
anyon,132,250,5.09697268462837
anyth,285,559,4.331330002030271
apart,257,440,4.434362227928506
are,3716,12860,1.766649642552872
arm,413,720,3.9614558390248096
around,1108,1977,2.976107825499757
as,1765,3944,2.5108494316862187
ask,506,768,3.7588108092589407
ass,221,423,4.5846444309778445
at,2049,4151,2.3617267407176703
au,115,361,5.233731621743759
auf,98,313,5.392201962715534
away,1455,3261,2.7038735840934924
ay,95,385,5.422973621382288
babe,178,490,4.799936007009369
babi,1344,5606,2.783172520814184
back,1720,4036,2.5366610166385843
bad,476,971,3.8198053219617827
bar,184,256,4.766965987771799
be,3633,11824,1.7892325638940076
beat,441,821,3.896011930772426
beauti,290,587,4.313998545678631
becaus,491,869,3.788843096357816
becom,191,327,4.729826440822342
bed,312,513,4.241118622309971
been,1476,3116,2.689553530318744
befor,891,1492,3.1938556802701146
begin,254,382,4.446058267691698
behind,425,620,3.932882466580754
believ,736,1571,3.3847339206607874
belong,136,254,5.067340887021999
best,426,683,3.9305377996214994
better,750,1448,3.3659161610859893
between,222,329,4.580150041390006
bien,217,493,4.602826750061035
big,467,842,3.838853516932477
bit,168,361,4.85742309792705
bitch,194,578,4.714322254286377
black,452,851,3.87142968736709
blame,189,331,4.740297740689638
bleed,153,267,4.950369210436495
bless,138,261,5.052847879719432
blind,272,421,4.377850017665164
blood,332,605,4.179179322869681
blow,313,514,4.237928826941871
blue,480,1006,3.8114545427443627
bodi,360,749,4.098443854517242
bone,161,273,4.899725477617739
born,229,382,4.549242503926928
both,220,322,4.589159111332371
bout,282,477,4.341874915206886
boy,546,1363,3.6828730104281426
break,612,1163,3.5689568769139126
breath,409,755,3.9711646531517704
bright,195,281,4.709207153619607
bring,517,1001,3.737346570590641
broke,172,246,4.8340302183523445
broken,307,552,4.25722202987655
brother,279,560,4.3525322096808745
burn,514,992,3.743154912186388
but,3529,9070,1.8182686629227813
buy,205,318,4.659445644060543
by,1713,3413,2.540736713692399
ca,1813,4326,2.484032182175042
call,1063,2063,3.0175311429485343
came,502,730,3.766731642750385
can,2544,6732,2.1454358838655008
cannot,181,318,4.783315125773329
car,337,557,4.164275917367105
care,619,1181,3.5576023348109866
carri,211,401,4.6307355381781115
cat,138,277,5.052847879719432
catch,236,412,4.519261671714993
caught,222,340,4.580150041390006
caus,1543,3658,2.6451900822654024
ce,119,348,5.199830070068078
cest,120,618,5.191531267253382
chain,139,270,5.04567939024082
chanc,353,596,4.1180248997163496
chang,682,1382,3.460826953279334
che,134,841,5.082047034411694
check,230,481,4.5449041023283305
child,235,451,4.523490007824513
children,188,310,4.745574797790482
chorus,458,1129,3.858271602789579
cielo,141,266,5.031494755248863
citi,269,535,4.388899853851749
clear,259,396,4.426640181834596
close,513,918,3.7450985473949587
cloth,196,288,4.704118084112135
cloud,188,278,4.745574797790482
club,128,247,5.127509408488452
cmon,88,250,5.498685443117984
cold,456,724,3.862638421955919
color,184,281,4.766965987771799
come,2413,6433,2.198281411192647
comin,168,284,4.85742309792705
comm,111,323,5.26882294155503
como,368,1110,4.076525168809597
con,497,1386,3.776721735825471
control,260,460,4.42280140552743
cool,213,364,4.621345797828273
corazon,115,250,5.233731621743759
corner,167,280,4.863357833446865
cos,126,293,5.143134726391533
could,1531,3169,2.6529924625495873
crazi,315,680,4.2315795992632115
cri,725,1406,3.399771798025328
cross,204,306,4.664311833711716
cuando,254,570,4.446058267691698
cut,266,448,4.400073154449874
cuz,169,381,4.851523375799863
da,324,1263,4.2034966305203865
daddi,168,329,4.85742309792705
damn,244,409,4.486063602305396
dan,177,558,4.805538262558039
danc,425,1102,3.932882466580754
dark,516,843,3.7392789383416947
darl,141,317,5.031494755248863
das,146,527,4.996889226071388
dawn,156,269,4.931076007501816
day,1793,4094,2.4951187702313824
de,1023,6766,3.0558500072506707
dead,449,869,3.8780742300857587
dear,162,318,4.893571612043361
death,313,519,4.237928826941871
deep,369,599,4.073818807211854
del,322,741,4.209669489627467
dem,105,407,5.323882718738057
den,134,410,5.082047034411694
der,132,618,5.09697268462837
des,168,609,4.85742309792705
devil,150,283,4.9700419760351995
di,187,865,4.7508798500201745
dich,68,341,5.753215308252865
did,978,2071,3.1007901703196135
die,861,2393,3.228066542186431
differ,234,356,4.527736298705966
dime,137,246,5.06006812769292
dirti,125,279,5.151039905898646
do,3936,17071,1.7091475219063863
doe,469,824,3.83458911814602
dog,185,344,4.761575139136923
doin,142,254,5.024477182590217
don,95,247,5.422973621382288
dond,123,267,5.167040247245088
done,495,884,3.780745886125197
dont,133,330,5.089482012899213
doo,26,336,6.691484946845795
door,511,762,3.748997187810616
dos,117,250,5.2166371883844596
doubt,178,257,4.799936007009369
down,2296,5819,2.247962610161026
dream,997,1950,3.08156853653866
drink,304,490,4.267010036242713
drive,273,504,4.374193706462053
drop,275,431,4.366920947132974
du,233,1252,4.532000697492423
e,304,1400,4.267010036242713
each,333,500,4.176180819873423
earth,252,469,4.453932324122604
easi,254,498,4.446058267691698
eat,221,333,4.5846444309778445
ein,112,434,5.259933994137783
el,673,3426,3.474091701937817
ella,98,335,5.392201962715534
els,351,565,4.123690637252027
em,395,982,4.005907601595643
empti,198,291,4.6940169881256315
en,800,3470,3.301460865781765
end,832,1381,3.262288170683281
enough,405,787,3.980968653248391
entr,140,258,5.038561922471955
er,63,311,5.828438729490452
ere,119,302,5.199830070068078
es,568,2339,3.643441378723793
est,308,802,4.253980535952378
esta,277,708,4.359700699159487
estoy,151,348,4.963441292003848
et,199,1084,4.6890044463020875
eu,81,357,5.580602565585871
even,853,1321,3.237390619061554
ever,842,1720,3.2503548548482684
everi,1055,2054,3.0250783485839174
everybodi,357,867,4.106788826449424
everyday,153,250,4.950369210436495
everyon,220,397,4.589159111332371
everyth,669,1307,3.480044100465112
eye,1381,2418,2.756034808522509
face,900,1514,3.183816555241786
fade,319,436,4.219000817056352
fair,174,290,4.82253583892661
faith,178,296,4.799936007009369
fall,840,1744,3.252730152877176
far,492,789,3.786812638807434
fast,263,410,4.411372709703808
father,170,267,4.845658256347464
fear,389,607,4.0211750737264325
feel,1927,4699,2.423083337679633
feelin,164,317,4.8813763389495435
feet,294,477,4.3003464565103044
fell,171,286,4.839827336036671
felt,236,325,4.519261671714993
fight,432,938,3.916584084847634
fill,299,456,4.283539338193923
final,287,440,4.324361332714178
find,1086,2032,2.9961449257289146
fine,266,497,4.400073154449874
finger,179,253,4.794364961959914
fire,464,873,3.845284407262768
first,489,831,3.792916421745452
flame,157,265,4.924726779823157
fli,419,840,3.94706710157271
floor,270,455,4.385202991970424
flow,280,425,4.348967143516378
follow,260,377,4.42280140552743
fool,353,631,4.1180248997163496
for,3847,11917,1.732013001064527
forev,360,723,4.098443854517242
forget,351,627,4.123690637252027
found,465,820,3.843136178724478
four,162,256,4.893571612043361
free,477,1023,3.8177110803586682
friend,719,1303,3.408070600840023
from,2275,5026,2.2571470176039026
front,219,350,4.593694266497762
fuck,413,1196,3.9614558390248096
fue,104,262,5.333361462692601
full,311,469,4.244318625040641
fun,236,450,4.519261671714993
funk,48,255,6.095501514739497
futur,170,296,4.845658256347464
game,436,686,3.907388617754534
gave,280,416,4.348967143516378
get,2274,7536,2.257586481465073
gettin,180,340,4.788824781584298
girl,951,2874,3.128756778058759
give,1252,2850,2.8540258579540554
go,2413,6562,2.198281411192647
god,593,1152,3.600442493487479
goe,343,645,4.146680155476726
goin,232,440,4.536283359284424
gold,204,348,4.664311833711716
gone,778,1622,3.3293107669793756
gonna,1092,3307,2.9906403246735858
good,1013,2192,3.0656636286989953
goodby,244,510,4.486063602305396
got,2191,6858,2.294752164782218
gotta,562,1530,3.6540421847104336
great,215,347,4.612043405165959
green,153,278,4.950369210436495
ground,349,502,4.129388658366665
grow,294,483,4.3003464565103044
guess,316,517,4.2284200389728435
gun,282,502,4.341874915206886
guy,175,285,4.816837817811972
ha,248,704,4.469868916385416
had,1079,1961,3.0026054927318584
hair,229,324,4.549242503926928
half,176,272,4.811172080276295
hand,1083,1868,2.9989086308505324
hang,244,404,4.486063602305396
happen,278,467,4.356110031028758
happi,342,737,4.149591365684184
hard,761,1300,3.3513752571634776
has,798,1305,3.303960867083849
hate,326,595,4.19736164195287
have,3552,10416,1.811774216829097
hay,219,543,4.593694266497762
he,1326,5278,2.7966457785179166
head,936,1609,3.1446385306117017
hear,891,1671,3.1938556802701146
heard,402,630,3.988385250903441
heart,1488,3281,2.681461780166115
heaven,314,666,4.234749174024491
hell,339,594,4.158376195239917
help,430,767,3.9212137227463764
her,1071,3709,3.0100404712193765
here,1608,3631,2.6039536658577407
hey,507,1784,3.7568403652716422
hide,390,586,4.018614252864758
high,519,960,3.733493001274651
him,615,1513,3.5640748493166043
his,891,2208,3.1938556802701146
hit,435,799,3.9096795695010895
ho,95,326,5.422973621382288
hold,933,1934,3.1478453746212813
home,898,1862,3.186038778378504
honey,228,430,4.553599809295884
hope,598,980,3.5920602147346745
hot,264,466,4.407591986863902
hour,214,300,4.616683784722461
hous,305,606,4.263736710897743
how,1620,3706,2.5965232911144476
hoy,161,397,4.899725477617739
hurt,355,723,4.112391081998094
i,5966,75673,1.293322245328042
ich,116,1435,5.2251478780523675
if,2307,6204,2.243185185222134
ihr,59,296,5.892977250628023
il,226,982,4.562371795368721
im,194,559,4.714322254286377
ima,96,358,5.412610834346741
in,5345,22621,1.4032179161512595
insid,640,1124,3.524292355929454
into,880,1490,3.2062641869139443
is,5191,20692,1.432447554466198
ist,107,505,5.305190585725904
it,5045,28885,1.460970683649121
je,160,1103,4.9059174478656615
jesus,123,270,5.167040247245088
joy,140,247,5.038561922471955
jump,167,401,4.863357833446865
just,3189,8601,1.919545617071234
keep,1110,2416,2.974306023210494
kick,214,335,4.616683784722461
kid,329,568,4.188229158389598
kill,382,772,4.039286823669478
kind,402,669,3.988385250903441
king,231,453,4.540584441183814
kiss,458,937,3.858271602789579
knee,224,349,4.571221410645704
knew,401,635,3.990869724231103
knock,146,263,4.996889226071388
know,3264,10385,1.8963067711395927
known,207,304,4.649783733148806
la,1079,7067,3.0026054927318584
ladi,225,510,4.5667868135778384
land,305,503,4.263736710897743
las,304,696,4.267010036242713
last,716,1250,3.4122459722505036
late,349,560,4.129388658366665
laugh,285,493,4.331330002030271
lay,292,526,4.307149203833056
le,445,1759,3.88700286083006
lead,223,324,4.575675760995084
learn,352,577,4.120853755916827
leav,940,1679,3.1403786732647445
left,720,1299,3.406682675565175
les,191,975,4.729826440822342
let,1841,5080,2.4687145960348715
lie,735,1348,3.3860916941212476
life,1611,3589,2.6020908897835504
light,892,1792,3.192735231973625
like,2859,8837,2.0287449090362255
line,461,759,3.851756921768385
lip,234,352,4.527736298705966
listen,459,704,3.8560953233669832
littl,953,2072,3.1266581414018373
live,1201,2491,2.895579697754971
lo,521,1701,3.729654224967485
lock,177,303,4.805538262558039
lone,307,565,4.25722202987655
long,1080,2097,3.0016799952109157
look,1517,3016,2.662172854894549
lookin,175,307,4.816837817811972
lord,330,804,4.185203437473061
